timestamp,epoch,race_id,venue,horse_number,horse_name,win_odds,place_odds,time_to_post
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,6,VERBIER,14.0,3.9,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,7,SO MY FOLKS,10.0,4.0,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,8,GROOVY FEELING,17.0,4.8,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,9,EMERGING STAR,52.0,12.0,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,10,RUNJEET,34.0,7.7,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,11,YEE CHEONG RAIDER,11.0,3.4,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,12,GIMME FIVE,19.0,5.2,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,13,GOOD FORTUNE,15.0,3.7,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,14,SPARKLE AND GOLD,35.0,6.8,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,1,LIGHTNESS OF MUSIC,3.5,1.5,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,2,RAPID PHANTOM,3.8,1.6,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,3,ONESHOT,13.0,3.5,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,4,RUN RUN SUNRISE,10.0,3.0,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,5,HEY BROS,55.0,9.5,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,6,MABUBU,17.0,4.9,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,7,SILVER SPURS,26.0,6.2,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,8,RUBY THRIVE,8.3,1.9,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,9,THUNDER PRINCE,8.6,3.0,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,10,COMET RADIANCE,8.9,3.6,
2026-09-05T17:23:49,1788600229.825,2026-09-06_Race2,ST,11,LET'S HAVE FUN,26.0,6.2,
2026-09-05T17:23:49,1788600229.877,2026-09-06_Race3,ST,1,KA YING RISING,1.0,1.0,
2026-09-05T17:23:49,1788600229.877,2026-09-06_Race3,ST,2,COPARTNER PRANCE,427.0,19.0,
2026-09-05T17:23:49,1788600229.877,2026-09-06_Race3,ST,3,PATCH OF STARS,204.0,6.2,
2026-09-05T17:23:49,1788600229.877,2026-09-06_Race3,ST,4,TOMODACHI KOKOROE,490.0,25.0,
2026-09-05T17:23:49,1788600229.877,2026-09-06_Race3,ST,5,LUCKY WITH YOU,311.0,13.0,
2026-09-05T17:23:49,1788600229.877,2026-09-06_Race3,ST,6,MAGIC CONTROL,424.0,20.0,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,1,JOYFUL JOY,4.6,2.9,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,2,MASTER LUCKY,15.0,4.7,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,3,ANOTHER WORLD,12.0,5.2,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,4,POSITIVE SMILE,6.1,3.6,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,5,GALLANT EPOCH,30.0,8.0,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,6,GRAND PATCH,5.1,1.3,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,7,NOBLE PATCH,17.0,5.4,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,8,SOLID CAR,13.0,4.9,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,9,GOLDEN WIN,12.0,3.3,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,10,GOLDENTRONICMIGHTY,10.0,1.8,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,11,MASSIVE REWARD,39.0,11.0,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,12,STAR SATYR,25.0,8.3,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,13,SUPER SICARIO,55.0,14.0,
2026-09-05T17:23:53,1788600233.771,2026-09-06_Race8,ST,14,CALIFORNIA BANNER,14.0,5.3,
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,1,LIGHTNESS OF MUSIC,3.5,1.5,
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,2,RAPID PHANTOM,3.8,1.6,
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,3,ONESHOT,13.0,3.5,
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,4,RUN RUN SUNRISE,10.0,3.0,
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,5,HEY BROS,55.0,9.5,
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,6,MABUBU,17.0,4.9,
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,7,SILVER SPURS,26.0,6.2,
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,8,RUBY THRIVE,8.3,1.9,
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,9,THUNDER PRINCE,8.6,3.0,
