date,bankroll,pnl,peak_bankroll,drawdown
2022-06-22,-52280.0,-62280.0,9950.0,-6.25427135678392
2022-06-22,-52330.0,-62330.0,9950.0,-6.2592964824120605
2022-06-22,-52390.0,-62390.0,9950.0,-6.265326633165829
2022-06-25,-52450.0,-62450.0,9950.0,-6.271356783919598
2022-06-25,-52510.0,-62510.0,9950.0,-6.277386934673367
2022-06-25,-52550.0,-62550.0,9950.0,-6.28140703517588
2022-06-25,-52600.0,-62600.0,9950.0,-6.28643216080402
2022-06-25,-52660.0,-62660.0,9950.0,-6.292462311557789
2022-06-25,-52730.0,-62730.0,9950.0,-6.299497487437186
2022-06-25,-52790.0,-62790.0,9950.0,-6.305527638190955
2022-06-25,-52830.0,-62830.0,9950.0,-6.3095477386934675
2022-06-25,-52890.0,-62890.0,9950.0,-6.315577889447236
2022-06-25,-52920.0,-62920.0,9950.0,-6.318592964824121
2022-07-06,-52970.0,-62970.0,9950.0,-6.323618090452261
2022-07-06,-53000.0,-63000.0,9950.0,-6.326633165829146
2022-07-06,-53030.0,-63030.0,9950.0,-6.32964824120603
2022-07-06,-53070.0,-63070.0,9950.0,-6.333668341708543
2022-07-06,-53110.0,-63110.0,9950.0,-6.337688442211055
2022-07-06,-53170.0,-63170.0,9950.0,-6.343718592964824
2022-07-06,-53230.0,-63230.0,9950.0,-6.349748743718593
2022-07-06,-53250.0,-63250.0,9950.0,-6.351758793969849
2022-07-06,-53280.0,-63280.0,9950.0,-6.354773869346734
2022-07-10,-53310.0,-63310.0,9950.0,-6.357788944723618
2022-07-10,-53370.0,-63370.0,9950.0,-6.363819095477387
2022-07-10,-53420.0,-63420.0,9950.0,-6.368844221105528
2022-07-10,-53480.0,-63480.0,9950.0,-6.374874371859296
2022-07-10,-53530.0,-63530.0,9950.0,-6.379899497487437
2022-07-10,-53570.0,-63570.0,9950.0,-6.38391959798995
2022-07-10,-53610.0,-63610.0,9950.0,-6.387939698492462
2022-07-10,-53680.0,-63680.0,9950.0,-6.394974874371859
2022-07-10,-53740.0,-63740.0,9950.0,-6.401005025125628
2022-07-10,-53770.0,-63770.0,9950.0,-6.404020100502512
2022-07-13,-53830.0,-63830.0,9950.0,-6.410050251256282
2022-07-13,-53870.0,-63870.0,9950.0,-6.414070351758794
2022-07-13,-53930.0,-63930.0,9950.0,-6.420100502512563
2022-07-13,-53970.0,-63970.0,9950.0,-6.4241206030150755
2022-07-13,-54010.0,-64010.0,9950.0,-6.428140703517588
2022-07-13,-54080.0,-64080.0,9950.0,-6.435175879396985
2022-07-13,-54100.0,-64100.0,9950.0,-6.437185929648241
2022-07-13,-54150.0,-64150.0,9950.0,-6.442211055276382
2022-07-13,-54190.0,-64190.0,9950.0,-6.446231155778895
2022-09-11,-54240.0,-64240.0,9950.0,-6.451256281407035
2022-09-11,-54310.0,-64310.0,9950.0,-6.458291457286432
2022-09-11,-54360.0,-64360.0,9950.0,-6.4633165829145725
2022-09-11,-54440.0,-64440.0,9950.0,-6.471356783919598
2022-09-11,-54480.0,-64480.0,9950.0,-6.4753768844221105
2022-09-11,-54520.0,-64520.0,9950.0,-6.479396984924623
2022-09-11,-54610.0,-64610.0,9950.0,-6.488442211055276
2022-09-11,-54670.0,-64670.0,9950.0,-6.494472361809045
2022-09-11,-54730.0,-64730.0,9950.0,-6.500502512562814
2022-09-11,-54760.0,-64760.0,9950.0,-6.503517587939698
2022-09-14,-54790.0,-64790.0,9950.0,-6.506532663316583
2022-09-14,-54830.0,-64830.0,9950.0,-6.510552763819096
2022-09-14,-54860.0,-64860.0,9950.0,-6.5135678391959795
2022-09-14,-54910.0,-64910.0,9950.0,-6.518592964824121
2022-09-14,-54940.0,-64940.0,9950.0,-6.521608040201005
2022-09-14,-54990.0,-64990.0,9950.0,-6.526633165829145
2022-09-14,-55040.0,-65040.0,9950.0,-6.531658291457286
2022-09-14,-55090.0,-65090.0,9950.0,-6.5366834170854275
2022-09-18,-55110.0,-65110.0,9950.0,-6.538693467336683
2022-09-18,-55150.0,-65150.0,9950.0,-6.542713567839196
2022-09-18,-55210.0,-65210.0,9950.0,-6.548743718592965
2022-09-18,-55240.0,-65240.0,9950.0,-6.551758793969849
2022-09-18,-55310.0,-65310.0,9950.0,-6.558793969849246
2022-09-18,-55380.0,-65380.0,9950.0,-6.565829145728643
2022-09-18,-55430.0,-65430.0,9950.0,-6.570854271356784
2022-09-18,-55470.0,-65470.0,9950.0,-6.574874371859297
2022-09-18,-55520.0,-65520.0,9950.0,-6.579899497487437
2022-09-18,-55560.0,-65560.0,9950.0,-6.58391959798995
2022-09-21,-55570.0,-65570.0,9950.0,-6.584924623115578
2022-09-21,-55580.0,-65580.0,9950.0,-6.585929648241206
2022-09-21,-55620.0,-65620.0,9950.0,-6.589949748743718
2022-09-21,-55660.0,-65660.0,9950.0,-6.593969849246231
2022-09-21,-55690.0,-65690.0,9950.0,-6.596984924623116
2022-09-21,-55730.0,-65730.0,9950.0,-6.6010050251256285
2022-09-21,-55740.0,-65740.0,9950.0,-6.602010050251256
2022-09-21,-55770.0,-65770.0,9950.0,-6.605025125628141
2022-09-25,-55820.0,-65820.0,9950.0,-6.610050251256282
2022-09-25,-55860.0,-65860.0,9950.0,-6.6140703517587935
2022-09-25,-55920.0,-65920.0,9950.0,-6.620100502512563
2022-09-25,-55940.0,-65940.0,9950.0,-6.622110552763819
2022-09-25,-55990.0,-65990.0,9950.0,-6.6271356783919595
2022-09-25,-56030.0,-66030.0,9950.0,-6.631155778894472
2022-09-25,-56100.0,-66100.0,9950.0,-6.63819095477387
2022-09-25,-56160.0,-66160.0,9950.0,-6.644221105527638
2022-09-25,-56240.0,-66240.0,9950.0,-6.6522613065326635
2022-09-25,-56280.0,-66280.0,9950.0,-6.656281407035176
2022-09-28,-56320.0,-66320.0,9950.0,-6.660301507537689
2022-09-28,-56340.0,-66340.0,9950.0,-6.662311557788945
2022-09-28,-56360.0,-66360.0,9950.0,-6.664321608040201
2022-09-28,-56410.0,-66410.0,9950.0,-6.669346733668342
2022-09-28,-56460.0,-66460.0,9950.0,-6.674371859296483
2022-09-28,-56490.0,-66490.0,9950.0,-6.6773869346733665
2022-09-28,-56520.0,-66520.0,9950.0,-6.680402010050251
2022-09-28,-56570.0,-66570.0,9950.0,-6.685427135678392
2022-10-01,-56610.0,-66610.0,9950.0,-6.6894472361809045
2022-10-01,-56680.0,-66680.0,9950.0,-6.696482412060302
2022-10-01,-56730.0,-66730.0,9950.0,-6.7015075376884425
2022-10-01,-56760.0,-66760.0,9950.0,-6.704522613065326
2022-10-01,-56810.0,-66810.0,9950.0,-6.709547738693467
2022-10-01,-56870.0,-66870.0,9950.0,-6.715577889447236
2022-10-01,-56910.0,-66910.0,9950.0,-6.719597989949749
2022-10-01,-56930.0,-66930.0,9950.0,-6.721608040201005
2022-10-01,-56960.0,-66960.0,9950.0,-6.72462311557789
2022-10-01,-57010.0,-67010.0,9950.0,-6.72964824120603
2022-10-05,-57020.0,-67020.0,9950.0,-6.730653266331658
2022-10-05,-57070.0,-67070.0,9950.0,-6.735678391959799
2022-10-05,-57090.0,-67090.0,9950.0,-6.737688442211056
2022-10-05,-57140.0,-67140.0,9950.0,-6.742713567839196
2022-10-05,-57190.0,-67190.0,9950.0,-6.747738693467337
2022-10-05,-57210.0,-67210.0,9950.0,-6.749748743718593
2022-10-05,-57250.0,-67250.0,9950.0,-6.7537688442211055
2022-10-05,-57280.0,-67280.0,9950.0,-6.75678391959799
2022-10-05,-57320.0,-67320.0,9950.0,-6.760804020100503
2022-10-09,-57370.0,-67370.0,9950.0,-6.7658291457286435
2022-10-09,-57440.0,-67440.0,9950.0,-6.77286432160804
2022-10-09,-57480.0,-67480.0,9950.0,-6.776884422110553
2022-10-09,-57510.0,-67510.0,9950.0,-6.779899497487437
2022-10-09,-57570.0,-67570.0,9950.0,-6.785929648241206
2022-10-09,-57640.0,-67640.0,9950.0,-6.792964824120603
2022-10-09,-57700.0,-67700.0,9950.0,-6.798994974874372
2022-10-09,-57750.0,-67750.0,9950.0,-6.8040201005025125
2022-10-09,-57810.0,-67810.0,9950.0,-6.810050251256281
2022-10-09,-57870.0,-67870.0,9950.0,-6.8160804020100505
2022-10-12,-57920.0,-67920.0,9950.0,-6.821105527638191
2022-10-12,-57960.0,-67960.0,9950.0,-6.825125628140704
2022-10-12,-57990.0,-67990.0,9950.0,-6.828140703517588
2022-10-12,-58020.0,-68020.0,9950.0,-6.831155778894472
2022-10-12,-58040.0,-68040.0,9950.0,-6.833165829145728
2022-10-12,-58090.0,-68090.0,9950.0,-6.83819095477387
