date,bankroll,roi_pct,peak,drawdown
2024-03-03,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-03-06,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-03-10,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-03-13,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-03-16,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-03-20,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-03-24,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-03-27,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-03-31,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-04-03,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-04-07,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-04-10,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-04-14,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-04-17,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-04-20,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-04-24,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-04-28,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-05-01,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-05-05,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-05-08,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-05-11,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-05-15,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-05-19,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-05-22,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-05-26,9118.31384990484,-8.8168615009516,10053.812944000001,-0.09304918435482293
2024-05-29,9118.31384990484,-8.8168615009516,10053.812944000001,-0.09304918435482293
2024-06-02,9118.31384990484,-8.8168615009516,10053.812944000001,-0.09304918435482293
2024-06-05,9118.31384990484,-8.8168615009516,10053.812944000001,-0.09304918435482293
2024-06-08,9118.31384990484,-8.8168615009516,10053.812944000001,-0.09304918435482293
2024-06-12,9118.31384990484,-8.8168615009516,10053.812944000001,-0.09304918435482293
2024-06-15,9118.31384990484,-8.8168615009516,10053.812944000001,-0.09304918435482293
2024-06-23,9118.31384990484,-8.8168615009516,10053.812944000001,-0.09304918435482293
2024-06-26,9118.31384990484,-8.8168615009516,10053.812944000001,-0.09304918435482293
2024-07-06,8935.947572906744,-10.640524270932561,10053.812944000001,-0.11118820066772644
2024-07-10,8935.947572906744,-10.640524270932561,10053.812944000001,-0.11118820066772644
2024-07-14,8935.947572906744,-10.640524270932561,10053.812944000001,-0.11118820066772644
2024-09-08,8935.947572906744,-10.640524270932561,10053.812944000001,-0.11118820066772644
2024-09-11,8935.947572906744,-10.640524270932561,10053.812944000001,-0.11118820066772644
2024-09-15,8935.947572906744,-10.640524270932561,10053.812944000001,-0.11118820066772644
2024-09-18,8935.947572906744,-10.640524270932561,10053.812944000001,-0.11118820066772644
2024-09-22,8935.947572906744,-10.640524270932561,10053.812944000001,-0.11118820066772644
2024-09-25,8935.947572906744,-10.640524270932561,10053.812944000001,-0.11118820066772644
2024-09-28,8757.228621448608,-12.427713785513916,10053.812944000001,-0.12896443665437193
2024-10-06,8757.228621448608,-12.427713785513916,10053.812944000001,-0.12896443665437193
2024-10-09,8757.228621448608,-12.427713785513916,10053.812944000001,-0.12896443665437193
2024-10-13,8757.228621448608,-12.427713785513916,10053.812944000001,-0.12896443665437193
2024-10-16,8757.228621448608,-12.427713785513916,10053.812944000001,-0.12896443665437193
2024-10-20,8757.228621448608,-12.427713785513916,10053.812944000001,-0.12896443665437193
2024-10-23,8582.084049019637,-14.179159509803629,10053.812944000001,-0.14638514792128443
2024-10-27,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-10-30,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-11-03,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-11-06,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-11-09,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-11-13,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-11-17,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-11-20,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-11-24,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-11-27,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-12-01,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-12-04,9251.486604843169,-7.485133951568312,10053.812944000001,-0.07980318945914461
2024-12-08,9066.456872746305,-9.335431272536955,10053.812944000001,-0.09820712566996177
2024-12-11,9066.456872746305,-9.335431272536955,10053.812944000001,-0.09820712566996177
2024-12-15,9066.456872746305,-9.335431272536955,10053.812944000001,-0.09820712566996177
2024-12-18,9066.456872746305,-9.335431272536955,10053.812944000001,-0.09820712566996177
2024-12-22,9066.456872746305,-9.335431272536955,10053.812944000001,-0.09820712566996177
2024-12-29,9066.456872746305,-9.335431272536955,10053.812944000001,-0.09820712566996177
2025-01-01,9846.172163802486,-1.5382783619751317,10053.812944000001,-0.020652938477578528
2025-01-05,9846.172163802486,-1.5382783619751317,10053.812944000001,-0.020652938477578528
2025-01-08,9846.172163802486,-1.5382783619751317,10053.812944000001,-0.020652938477578528
2025-01-12,9846.172163802486,-1.5382783619751317,10053.812944000001,-0.020652938477578528
2025-01-15,9846.172163802486,-1.5382783619751317,10053.812944000001,-0.020652938477578528
2025-01-19,9649.248720526437,-3.5075127947356344,10053.812944000001,-0.040239879708026935
2025-01-22,9649.248720526437,-3.5075127947356344,10053.812944000001,-0.040239879708026935
2025-01-26,9649.248720526437,-3.5075127947356344,10053.812944000001,-0.040239879708026935
2025-02-05,9649.248720526437,-3.5075127947356344,10053.812944000001,-0.040239879708026935
2025-02-09,9456.263746115908,-5.437362538840917,10053.812944000001,-0.05943508211386638
2025-02-12,9456.263746115908,-5.437362538840917,10053.812944000001,-0.05943508211386638
2025-02-16,9456.263746115908,-5.437362538840917,10053.812944000001,-0.05943508211386638
2025-02-19,9456.263746115908,-5.437362538840917,10053.812944000001,-0.05943508211386638
2025-02-23,9456.263746115908,-5.437362538840917,10053.812944000001,-0.05943508211386638
2025-02-26,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-03-02,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-03-05,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-03-09,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-03-12,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-03-15,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-03-19,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-03-23,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-03-26,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-03-30,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-04-02,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-04-06,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-04-09,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-04-13,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-04-16,9267.13847119359,-7.3286152880641,10053.812944000001,-0.07824638047158909
2025-04-20,10082.646656658624,0.8264665665862481,10082.646656658624,0.0
2025-04-23,10082.646656658624,0.8264665665862481,10082.646656658624,0.0
2025-04-27,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-04-30,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-05-04,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-05-07,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-05-10,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-05-14,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-05-18,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-05-21,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-05-25,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-05-28,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-05-31,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-06-04,9880.993723525451,-1.190062764745492,10082.646656658624,-0.02000000000000006
2025-06-08,10631.949246513386,6.319492465133858,10631.949246513386,0.0
2025-06-11,10631.949246513386,6.319492465133858,10631.949246513386,0.0
2025-06-14,10631.949246513386,6.319492465133858,10631.949246513386,0.0
2025-06-22,10631.949246513386,6.319492465133858,10631.949246513386,0.0
2025-06-25,11546.296881713539,15.46296881713538,11546.296881713539,0.0
2025-06-28,11315.370944079268,13.153709440792682,11546.296881713539,-0.01999999999999999
2025-07-05,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-07-09,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-07-13,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-09-07,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-09-10,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-09-14,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-09-17,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-09-21,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-09-28,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-10-01,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-10-04,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-10-08,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-10-12,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-10-15,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-10-19,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-10-22,11089.063525197682,10.890635251976821,11546.296881713539,-0.03960000000000007
2025-10-26,10867.282254693728,8.672822546937287,11546.296881713539,-0.05880800000000011
2025-11-02,10867.282254693728,8.672822546937287,11546.296881713539,-0.05880800000000011
2025-11-05,12258.294383294526,22.582943832945258,12258.294383294526,0.0
2025-11-09,12258.294383294526,22.582943832945258,12258.294383294526,0.0
2025-11-12,12258.294383294526,22.582943832945258,12258.294383294526,0.0
2025-11-15,12258.294383294526,22.582943832945258,12258.294383294526,0.0
2025-11-19,12258.294383294526,22.582943832945258,12258.294383294526,0.0
2025-11-23,12258.294383294526,22.582943832945258,12258.294383294526,0.0
2025-11-26,12258.294383294526,22.582943832945258,12258.294383294526,0.0
2025-11-30,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2025-12-03,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2025-12-07,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2025-12-10,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2025-12-14,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2025-12-17,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2025-12-20,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2025-12-27,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2026-01-04,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2026-01-07,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2026-01-11,13310.546373156527,33.105463731565266,13310.546373156527,0.0
2026-01-14,13044.335445693396,30.443354456933957,13310.546373156527,-0.020000000000000046
2026-01-18,14061.79361045748,40.6179361045748,14061.79361045748,0.0
2026-01-21,14061.79361045748,40.6179361045748,14061.79361045748,0.0
2026-01-25,14061.79361045748,40.6179361045748,14061.79361045748,0.0
2026-01-28,14061.79361045748,40.6179361045748,14061.79361045748,0.0
2026-02-01,14061.79361045748,40.6179361045748,14061.79361045748,0.0
2026-02-04,14061.79361045748,40.6179361045748,14061.79361045748,0.0
